MAGOH2	SUMO1
C5H14ORF166	SUMO1
CYB5B	SUMO1
API5	SUMO1
ADRM1	SUMO1
SSR3	SUMO1
TSG101	SUMO1
LAPTM4A	SUMO1
BUB3	SUMO1
ERP44	SUMO1
BZW1	SUMO1
CALM	SUMO1
PSMD6	SUMO1
RPS14	SUMO1
EEF1A1	SUMO1
CSNK1A1	SUMO1
RPL7A	SUMO1
RPS8	SUMO1
PTMS	SUMO1
MTX2	SUMO1
PCNA	SUMO1
EIF4A2	SUMO1
TMEM50A	SUMO1
RPL18A	SUMO1
EIF4G2	SUMO1
POLR2E	SUMO1
RPS11	SUMO1
PSMC2	SUMO1
C5H11ORF58	SUMO1
RPL15	SUMO1
CNBP	SUMO1
SRSF10	SUMO1
TPT1	SUMO1
ATP5F1	SUMO1
SLC25A3	SUMO1
MLF2	SUMO1
CTD-2410N18.5	SUMO1
UFM1	SUMO1
ATP5C1	SUMO1
PSMC6	SUMO1
PSMB3	SUMO1
RAB1A	SUMO1
SEC11A	SUMO1
SOD1	SUMO1
SERF1A	SUMO1
ACTG1	SUMO1
PSMA2	SUMO1
OAZ1	SUMO1
RPSA	SUMO1
HNRNPH3	SUMO1
PSMA1	SUMO1
H2AFZ	SUMO1
RPS3	SUMO1
RPS3A	SUMO1
RPS25	SUMO1
SUMO2	SUMO1
HNRNPH1	SUMO1
RPS17	SUMO1
KDELR2	SUMO1
RNF13	SUMO1
RPL6	SUMO1
HSBP1	SUMO1
COPS8	SUMO1
PPIH	SUMO1
RPS10	SUMO1
AP002884.2	SUMO1
RPS4X	SUMO1
ZDHHC6	SUMO1
DDX5	SUMO1
ENO1	SUMO1
COX7A2L	SUMO1
ITM2A	SUMO1
CCT6A	SUMO1
RPLP0	SUMO1
SDCBP	SUMO1
BUD31	SUMO1
EIF3I	SUMO1
TOMM22	SUMO1
TRA2A	SUMO1
SMU1	SUMO1
UBE2D3	SUMO1
PHB2	SUMO1
UBA52	SUMO1
RPS16	SUMO1
ATP5G3	SUMO1
ITGB1BP3	SUMO1
LOC427708	SUMO1
H3F3B	SUMO1
EIF4EBP1	SUMO1
SEPT2L	SUMO1
UBE2A	SUMO1
RAB14	SUMO1
RPL24	SUMO1
YWHAZ	SUMO1
RPL7L1	SUMO1
MMGT1	SUMO1
GDI2	SUMO1
RPL37	SUMO1
ATP6V1G1	SUMO1
RPL5	SUMO1
RBX1	SUMO1
RP11-411B6.6	SUMO1
RPL27A	SUMO1
YWHAQ	SUMO1
RBBP4	SUMO1
UBC	SUMO1
SF3B6	SUMO1
RPS27A	SUMO1
RPL14	SUMO1
RPS20	SUMO1
RPL11	SUMO1
ATF1	SUMO1
DNAJC8	SUMO1
FTH1	SUMO1
ARHGDIA	SUMO1
CCT5	SUMO1
COPS4	SUMO1
SEC13	SUMO1
TXN	SUMO1
RPL39	SUMO1
EIF3E	SUMO1
RPS24	SUMO1
PSMB7	SUMO1
RPLP1	SUMO1
COPE	SUMO1
EIF1AY	SUMO1
UBE2K	SUMO1
RPL36	SUMO1
HSPE1	SUMO1
SEC61B	SUMO1
RPL21	SUMO1
RPL35	SUMO1
PTP4A2	SUMO1
ZNF207	SUMO1
NME2	SUMO1
RPS7	SUMO1
RPL19	SUMO1
RPL23A	SUMO1
RPL12	SUMO1
COX4I1	SUMO1
RPL27	SUMO1
NAP1L1	SUMO1
RPL38	SUMO1
AP000304.12	SUMO1
SELT	SUMO1
TCP1	SUMO1
CHCHD2	SUMO1
GABRG2	GRM5
RPL35	RPL36
RPL23A	RPL36
RPS25	RPL36
RPS20	RPL36
RPL32	RPL36
RPS16	RPL36
RPS21	RPL36
SEC13	RPL36
RPL37	RPL36
RPL27	RPL36
RPL11	RPL36
RPS11	RPL36
RPL30	RPL36
HSPE1	RPL36
RPL27A	RPL36
RPS27A	RPL36
RPL29	RPL36
RPL24	RPL36
RPL12	RPL36
RPLP1	RPL36
MRPL13	RPL36
RPS29	RPL36
RPL22	RPL36
RPL38	RPL36
RPL14	RPL36
RPS10	RPL36
RPS15A	RPL36
RP11-849F2.7	RPL36
UBA52	RPL36
RPL39	RPL36
TMEM258	RPL36
LLPH	RPL36
NME2	RPL36
RPL19	RPL36
SERBP1	RPL36
RPS3A	RPL36
BUD31	RPL36
RPLP2	RPL36
PTP4A2	RPL36
SPCS3	RPL36
RPL37A	RPL36
LMAN1	RPL36
EIF4EBP1	RPL36
RPL21	RPL36
RPS14	RPL36
EIF3I	RPL36
RPL18A	RPL36
RBX1	RPL36
RPS8	RPL36
FOXRED2	RPL36
MAGOH2	RPL36
MINOS1	RPL36
RPS12	RPL36
RPL15	RPL36
NPM1	RPL36
TOMM7	RPL36
RPL6	RPL36
RPS17	RPL36
MRPL14	RPL36
RPS3	RPL36
AP000304.12	RPL36
AC024592.12	RPL36
BZW1	RPL36
RPL13	RPL36
RPS24	RPL36
POLR2F	RPL36
EIF4A3	RPL36
RPSA	RPL36
RPL4	RPL36
RPS7	RPL36
C5H11ORF58	RPL36
SRP72	RPL36
